stop_id,stop_code,Stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3872,3872,Carolyn Weston & Monet Drive Fs Sb,,37.907079,-121.319464,,,,,,0
3873,3873,Carolyn Weston & Aso Taro Ct Fs Sb,,37.905292,-121.319762,,,,,,0
3874,3874,Henry Long & Estes Ave Eb,,37.902207,-121.315233,,,,,,0
3878,3878,Mcdougald Blvd & Bess Pl Ns Nb,,37.905232,-121.295332,,,,,,0
7103,7103,California St & Vine Fs Nb,,37.966237,-121.287932,,,,,,0
3843,3843,Pacific Av @ Hammer Ranch Center Nb,,38.017279,-121.322882,,,,,,0
3762,3762,Stanfield & Appling Cir Ns Wb,STANFIELD DR & APPLING CIR,38.035312,-121.356275,,,,,,0
3482,3482,Thornton Rd & A.G. Spanos Blvd Fs/Nb,,38.046272,-121.350457,,,,,,0
3507,3507,Thornton Rd & A.G. Spanos  Blvd Fs/Sb,,38.045014,-121.35022,,,,,,0
3409,3409,Stockton St & Gabriel Ct Ns/Nb,,37.928427,-121.29981,,,,,,0
3408,3408,Stockton St & 8th St Fs/Nb,,37.927043,-121.299805,,,,,,0
3450,3450,Herndon Pl & Mill Springs Fs/Sb,HERNDON PL & MILL SPRINGS DR,38.008964,-121.357571,,,,,,0
3523,3523,Maranatha Dr & Christian Life Wy Nb,,38.024565,-121.264043,,,,,,0
3532,3532,Holman Rd & Wakeman Dr Fs/Nb,,38.024353,-121.270916,,,,,,0
3524,3524,Holman Rd & Bryant Dr Fs/Sb,,38.026895,-121.269932,,,,,,0
3401,3401,Dry Creek Wy & Houston Av Ns/Sb,,37.921299,-121.308708,,,,,,0
3402,3402,Houston Av & Sunol Valley  Fs/Nb,,37.921191,-121.314302,,,,,,0
3403,3403,Houston Av & Tilden Park St Fs/Nb,HOUSTON ST & VAN BUREN ST,37.923696,-121.31966,,,,,,0
3404,3404,8th St  & Tillie Lewis Dr Fs/Eb,,37.926555,-121.318541,,,,,,0
3410,3410,Stockton St & 5th St Ns/Nb,,37.931159,-121.299812,,,,,,0
3405,3405,8th St  & Fresno Av Ns/Eb,,37.926559,-121.311635,,,,,,0
3527,3527,March Ln & Holman Rd Fs/Wb,,38.005943,-121.272406,,,,,,0
3525,3525,Holman Rd & Wakeman Dr Fs/Sb,,38.023817,-121.271578,,,,,,0
3641,3641,Sinclair & 4th St Ns Sb,SINCLAIR AVE & 4TH ST,37.946417,-121.227492,,,,,,0
3653,3653,Wilson Wy & Hazelton Fs Nb,,37.95037,-121.26996,,,,,,0
3655,3655,Wilson Wy & Market Fs Nb,,37.954922,-121.271239,,,,,,0
3421,3421,Plymouth Rd  & Crittenden Ct Fs/Nb,,38.009429,-121.35168,,,,,,0
3487,3487,Morada Ln & Lower Sac Fs/Eb,,38.035456,-121.322348,,,,,,0
3489,3489,El Dorado & Normandy Ct Fs/Sb,EL DORADO ST & NORMANDY CT,38.029076,-121.316343,,,,,,0
3665,3665,Pershing Av & Country Club Fs Sb,,37.969197,-121.315123,,,,,,0
3511,3511,Swain & Claremont Fs/Eb,SWAIN RD & CLAREMONT AVE,38.005613,-121.313198,,,,,,0
3671,3671,Wilson Wy & Main Fs Sb,,37.955674,-121.271635,,,,,,0
3672,3672,Wilson Wy & Lafayette Ns Sb,,37.9531,-121.27099,,,,,,0
3673,3673,Wilson Wy & Hazelton Ns Sb,,37.94999,-121.27011,,,,,,0
3680,3680,Farmington @ 3808 Eb,FARMINGTON RD & 3808 FARMINGTON RD,37.939531,-121.2378,,,,,,0
3084,3084,8th St & San Joaquin Ns/Eb,,37.929235,-121.280671,,,,,,0
3128,3128,Clayton & Harvey Fs/Eb,,37.910985,-121.276969,,,,,,0
3129,3129,El Dorado & Western Lumber Mb/Sb,EL DORADO ST & WESTERN LUMBER,37.904417,-121.275816,,,,,,0
7793,7793,Maranatha Dr & Christian Life Ns Sb,,38.024476,-121.264222,,,,,,0
3537,3537,Cherokee Rd & Sierra Ln Fs/Sb,,37.977058,-121.26523,,,,,,0
3538,3538,Harding Wy & Hiawatha St Fs/Wb,,37.971607,-121.270657,,,,,,0
3539,3539,Harding Wy & Funston Ave Fs/Wb,,37.971561,-121.27078,,,,,,0
3517,3517,Airport Wy & Harding Wy Ns/Nb,,37.969981,-121.278054,,,,,,0
3541,3541,Airport Wy & Roosevelt St Fs/Sb,,37.966673,-121.277335,,,,,,0
3683,3683,Main & Anteros Ns Wb,,37.95423,-121.23759,,,,,,0
3686,3686,Main & F Street Fs Wb,,37.95503,-121.254166,,,,,,0
3688,3688,Main & D Street Fs Wb,,37.955288,-121.259454,,,,,,0
3359,3359,Fremont St & Laurel Fs/Wb,,37.96209,-121.26599,,,,,,0
3798,3798,East St & Carlton Fs Nb,,37.746355,-121.421137,,,,,,0
3703,3703,Main & Fair Oaks Library Eb,,37.954983,-121.255793,,,,,,0
3709,3709,Washington St & Dawes Ns Eb,WASHINGTON ST & DAWES AVE,37.963887,-121.232218,,,,,,0
3712,3712,Cardinal Av & Meadowood Fs Sb,,37.959406,-121.219885,,,,,,0
3713,3713,Main & Del Mar Fs Wb,MAIN ST & DEL MAR AVE,37.955843,-121.227098,,,,,,0
